target,credit,term,fst_payment,age,gender,child_total,dependants,socstatus_work_fl,socstatus_pens_fl,fl_presence_fl,own_auto,personal_income,total_loans_count,work_time_in_years,высшее,среднее,среднее специальное,не состоял в браке,разведен(а),состою в браке,от 10000 до 20000 руб.,от 20000 до 50000 руб.,от 5000 до 10000 руб.
0,8000.0,6,8650.0,49,1,2,1,1,0,0,0,5000.0,1,1.0,False,False,True,False,False,True,True,False,False
0,21650.0,6,4000.0,32,1,3,3,1,0,0,0,12000.0,1,8.0,False,True,False,False,False,True,True,False,False
0,33126.0,12,4000.0,52,1,4,0,1,0,0,0,9000.0,2,7.0,False,False,False,False,False,True,True,False,False
0,8491.82,6,5000.0,39,1,1,1,1,0,1,0,25000.0,1,14.0,True,False,False,False,False,True,False,True,False
0,21990.0,12,4000.0,30,0,0,0,1,0,0,0,12000.0,2,8.0,False,True,False,False,False,True,True,False,False
0,30615.0,12,3500.0,29,0,0,0,1,0,0,1,12000.0,2,3.0,False,True,False,False,False,False,False,True,False
0,10450.0,3,15000.0,35,0,1,1,1,0,1,0,15000.0,2,0.0,True,False,False,False,True,False,False,True,False
0,15035.0,10,465.0,41,1,0,0,1,0,1,0,6000.0,2,0.0,False,True,False,False,False,True,True,False,False
0,32914.31,4,29080.92,53,0,2,0,1,0,0,0,100000.0,1,13.0,True,False,False,False,False,True,False,False,False
0,4440.0,6,540.0,43,1,0,0,1,0,1,0,7000.0,1,6.0,False,False,True,False,False,True,True,False,False
0,5160.0,3,600.0,54,1,2,0,1,0,1,0,19000.0,1,10.0,False,False,True,True,False,False,False,True,False
1,11751.0,4,8389.0,26,0,0,0,1,0,0,0,18000.0,2,2.0,False,False,True,True,False,False,True,False,False
1,11160.0,3,2790.0,62,0,3,0,0,1,0,1,7000.0,1,4.0,False,True,False,False,False,False,True,False,False
0,5770.0,9,1020.0,45,1,3,1,1,0,0,0,12000.0,1,6.0,False,False,True,False,True,False,True,False,False
0,14513.0,5,1462.0,38,1,0,1,1,0,0,0,20000.0,2,10.0,True,False,False,False,False,True,False,True,False
1,79910.0,5,19990.0,41,1,0,0,1,0,1,0,60000.0,1,14.0,True,False,False,False,True,False,False,False,False
0,4039.0,3,500.0,65,1,2,0,0,1,1,0,10000.0,1,0.0,False,False,True,False,False,True,False,True,False
0,3400.0,6,2000.0,29,1,1,1,1,0,0,0,5200.0,1,0.0,False,False,True,False,False,True,True,False,False
1,7290.0,6,1300.0,34,0,0,0,1,0,0,0,35000.0,1,1.0,False,True,False,False,False,False,False,False,False
0,8918.0,6,1000.0,28,1,0,0,1,0,0,0,15000.0,1,5.0,True,False,False,True,False,False,True,False,False
0,10342.0,6,1200.0,37,1,1,1,1,0,1,0,10000.0,1,16.0,True,False,False,False,False,True,True,False,False
0,19857.0,6,6000.0,42,1,1,1,1,0,0,0,10000.0,1,6.0,False,False,True,False,False,True,True,False,False
