,ID_CLIENT,closed_loans_count,total_loans_count
0,106804370,1,1
1,106804371,1,1
2,106804372,1,2
3,106804373,1,1
4,106804374,1,2
5,106804375,1,2
6,106804376,2,2
7,106804377,1,2
8,106804378,1,1
9,106804379,1,1
10,106804380,1,1
11,106804381,1,2
12,106804382,1,1
13,106804383,1,1
14,106804384,1,2
15,106804385,1,1
16,106804386,1,1
17,106804387,1,1
18,106804388,1,1
19,106804389,1,1
20,106804390,1,1
21,106804391,1,1
22,106804392,1,1
23,106804393,1,1
24,106804394,1,1
25,106804395,1,1
26,106804396,1,1
27,106804397,1,1
28,106804398,1,1
29,106804399,1,1
30,106804400,1,1
31,106804401,1,1
32,106804402,1,1
33,106804403,1,1
34,106804404,1,1
35,106804405,1,1
36,106804406,2,2
37,106804407,1,1
38,106804408,1,1
39,106804409,1,1
40,106804410,1,1
41,106804411,2,2
42,106804412,1,1
43,106804413,1,1
44,106804414,1,2
45,106804415,1,1
46,106804416,1,1
47,106804417,1,1
48,106804418,1,2
49,106804419,1,1
50,106804420,1,1
51,106804421,1,1
52,106804422,1,1
53,106804423,2,2
54,106804424,2,2
55,106804425,1,1
56,106804426,1,1
57,106804427,1,1
58,106804428,1,2
59,106804429,1,1
60,106804430,1,1
61,106804431,1,1
62,106804432,1,1
63,106804433,1,1
64,106804434,1,1
65,106804435,1,1
66,106804436,1,1
67,106804437,1,1
68,106804438,1,1
69,106804439,1,1
70,106804440,1,1
71,106804441,1,1
72,106804442,1,1
73,106804443,1,1
74,106804444,2,2
75,106804445,1,1
76,106804446,2,2
77,106804447,1,1
78,106804448,1,1
79,106804449,1,1
80,106804450,1,1
81,106804451,1,1
82,106804452,2,2
83,106804453,1,1
84,106804454,1,1
85,106804455,1,1
86,106804456,1,1
87,106804457,1,1
88,106804458,1,1
89,106804459,1,1
90,106804460,1,1
91,106804461,1,2
92,106804462,1,1
93,106804463,1,1
94,106804464,1,1
95,106804465,1,1
96,106804466,1,1
97,106804467,1,1
98,106804468,1,1
99,106804469,1,1
100,106804470,1,1
101,106804471,1,1
102,106804472,1,1
103,106804473,1,1
104,106804474,1,1
105,106804475,1,2
106,106804476,1,1
107,106804477,1,1
108,106804478,1,1
109,106804479,1,1
110,106804480,1,1
111,106804481,1,1
112,106804482,1,1
113,106804483,1,1
114,106804484,2,2
115,106804485,1,1
116,106804486,1,1
117,106804487,1,1
118,106804488,1,1
119,106804489,1,1
120,106804490,1,1
121,106804491,1,1
122,106804492,1,1
123,106804493,1,1
124,106804494,1,1
125,106804495,2,2
126,106804496,1,1
127,106804497,2,3
128,106804498,1,1
129,106804499,1,1
130,106804500,1,1
131,106804501,1,1
132,106804502,1,1
133,106804503,1,1
134,106804504,1,1
135,106804505,2,2
136,106804506,1,1
137,106804507,1,1
138,106804508,1,1
139,106804509,1,1
140,106804510,1,1
141,106804511,1,1
142,106804512,1,1
143,106804513,1,1
144,106804514,1,1
145,106804515,1,1
146,106804516,1,1
147,106804517,1,1
148,106804518,1,1
149,106804519,2,2
150,106804520,1,1
151,106804521,1,1
152,106804522,1,1
153,106804523,1,1
154,106804524,1,1
155,106804525,1,1
156,106804526,1,1
157,106804527,1,2
158,106804528,1,1
159,106804529,2,2
160,106804530,1,1
161,106804531,1,1
162,106804532,2,2
163,106804533,2,3
164,106804534,1,1
165,106804535,1,2
166,106804536,1,2
167,106804537,2,2
168,106804538,1,1
169,106804539,1,1
170,106804540,1,1
171,106804541,1,1
172,106804542,1,1
173,106804543,1,1
174,106804544,1,1
175,106804545,1,1
176,106804546,1,1
177,106804547,2,2
178,106804548,1,1
179,106804549,1,1
180,106804550,1,1
181,106804551,1,1
182,106804552,1,1
183,106804553,1,1
184,106804554,1,1
185,106804555,1,1
186,106804556,1,2
187,106804557,1,1
188,106804558,1,1
189,106804559,1,1
190,106804560,1,1
191,106804561,1,1
192,106804562,1,1
193,106804563,1,1
194,106804564,1,1
195,106804565,1,1
196,106804566,1,1
197,106804567,1,1
198,106804568,1,1
199,106804569,2,2
200,106804570,2,2
201,106804571,1,1
202,106804572,1,1
203,106804573,1,1
204,106804574,2,2
205,106804575,1,1
206,106804576,1,1
207,106804577,1,1
208,106804578,1,1
209,106804579,2,2
210,106804580,1,1
211,106804581,1,1
212,106804582,1,1
213,106804583,1,1
214,106804584,1,1
215,106804585,1,1
216,106804586,1,1
217,106804587,1,1
218,106804588,1,1
219,106804589,2,2
220,106804590,1,1
221,106804591,1,1
222,106804592,1,2
223,106804593,1,1
224,106804594,1,1
225,106804595,2,2
226,106804596,1,1
227,106804597,1,1
228,106804598,1,1
229,106804599,1,2
230,106804600,1,1
231,106804601,1,1
232,106804602,2,3
233,106804603,2,2
234,106804604,1,1
235,106804605,1,1
236,106804606,1,1
237,106804607,1,1
238,106804608,1,2
239,106804609,1,1
240,106804610,1,1
241,106804611,1,1
242,106804612,1,1
243,106804613,1,1
244,106804614,1,1
245,106804615,1,1
246,106804616,1,1
247,106804617,1,1
248,106804618,1,1
249,106804619,1,1
250,106804620,1,1
251,106804621,1,1
252,106804622,1,1
253,106804623,1,1
254,106804624,1,1
255,106804625,1,1
256,106804626,1,1
257,106804627,1,1
258,106804628,1,1
259,106804629,1,2
260,106804630,1,1
261,106804631,1,1
262,106804632,1,1
263,106804633,1,1
264,106804634,1,1
265,106804635,1,1
266,106804636,1,1
267,106804637,1,1
268,106804638,1,2
269,106804639,1,1
270,106804640,1,1
